Support .NET namespace,Support .NET type name,AndroidX .NET namespace,AndroidX .NET type name,AndroidX .NET assembly,Support Java package,Support Java class,AndroidX Java package,AndroidX Java class,Messages
Android.Arch.Core.Executor,ArchTaskExecutor,AndroidX.Arch.Core.Executor,ArchTaskExecutor,Xamarin.AndroidX.Arch.Core.Runtime,android.arch.core.executor,ArchTaskExecutor,androidx.arch.core.executor,ArchTaskExecutor,
Android.Arch.Core.Executor,DefaultTaskExecutor,AndroidX.Arch.Core.Executor,DefaultTaskExecutor,Xamarin.AndroidX.Arch.Core.Runtime,android.arch.core.executor,DefaultTaskExecutor,androidx.arch.core.executor,DefaultTaskExecutor,
Android.Arch.Core.Executor,TaskExecutor,AndroidX.Arch.Core.Executor,TaskExecutor,Xamarin.AndroidX.Arch.Core.Runtime,android.arch.core.executor,TaskExecutor,androidx.arch.core.executor,TaskExecutor,
Android.Arch.Core.Internal,FastSafeIterableMap,AndroidX.Arch.Core.Internal,FastSafeIterableMap,Xamarin.AndroidX.Arch.Core.Common,android.arch.core.internal,FastSafeIterableMap,androidx.arch.core.internal,FastSafeIterableMap,
Android.Arch.Core.Internal,SafeIterableMap,AndroidX.Arch.Core.Internal,SafeIterableMap,Xamarin.AndroidX.Arch.Core.Common,android.arch.core.internal,SafeIterableMap,androidx.arch.core.internal,SafeIterableMap,
Android.Arch.Core.Internal,SafeIterableMap.Entry,AndroidX.Arch.Core.Internal,SafeIterableMap.Entry,Xamarin.AndroidX.Arch.Core.Common,android.arch.core.internal,SafeIterableMap.Entry,androidx.arch.core.internal,SafeIterableMap.Entry,
Android.Arch.Core.Internal,SafeIterableMap.ISupportRemove,AndroidX.Arch.Core.Internal,SafeIterableMap.ISupportRemove,Xamarin.AndroidX.Arch.Core.Common,,,,,
Android.Arch.Core.Util,IFunction,AndroidX.Arch.Core.Util,IFunction,Xamarin.AndroidX.Arch.Core.Common,,,,,
Android.Arch.Lifecycle,AndroidViewModel,AndroidX.Lifecycle,AndroidViewModel,Xamarin.AndroidX.Lifecycle.ViewModel,android.arch.lifecycle,AndroidViewModel,androidx.lifecycle,AndroidViewModel,
Android.Arch.Lifecycle,CompositeGeneratedAdaptersObserver,AndroidX.Lifecycle,CompositeGeneratedAdaptersObserver,Xamarin.AndroidX.Lifecycle.Common,android.arch.lifecycle,CompositeGeneratedAdaptersObserver,androidx.lifecycle,CompositeGeneratedAdaptersObserver,
Android.Arch.Lifecycle,ComputableLiveData,AndroidX.Lifecycle,ComputableLiveData,Xamarin.AndroidX.Lifecycle.LiveData,android.arch.lifecycle,ComputableLiveData,androidx.lifecycle,ComputableLiveData,
,,,,,,,,,WARNING: Unable to find AndroidX type for Java type androidx.lifecycle.HolderFragment.
,,,,,,,,,WARNING: Unable to find AndroidX type for Java type androidx.lifecycle.HolderFragment.HolderFragmentManager.
Android.Arch.Lifecycle,IGeneratedAdapter,AndroidX.Lifecycle,IGeneratedAdapter,Xamarin.AndroidX.Lifecycle.Common,,,,,
Android.Arch.Lifecycle,IGenericLifecycleObserver,AndroidX.Lifecycle,IGenericLifecycleObserver,Xamarin.AndroidX.Lifecycle.Common,,,,,
Android.Arch.Lifecycle,ILifecycleObserver,AndroidX.Lifecycle,ILifecycleObserver,Xamarin.AndroidX.Lifecycle.Common,,,,,
Android.Arch.Lifecycle,ILifecycleOwner,AndroidX.Lifecycle,ILifecycleOwner,Xamarin.AndroidX.Lifecycle.Common,,,,,
Android.Arch.Lifecycle,IObserver,AndroidX.Lifecycle,IObserver,Xamarin.AndroidX.Lifecycle.LiveData.Core,,,,,
Android.Arch.Lifecycle,IViewModelStoreOwner,AndroidX.Lifecycle,IViewModelStoreOwner,Xamarin.AndroidX.Lifecycle.ViewModel,,,,,
Android.Arch.Lifecycle,Lifecycle,AndroidX.Lifecycle,Lifecycle,Xamarin.AndroidX.Lifecycle.Common,android.arch.lifecycle,Lifecycle,androidx.lifecycle,Lifecycle,
Android.Arch.Lifecycle,Lifecycle.Event,AndroidX.Lifecycle,Lifecycle.Event,Xamarin.AndroidX.Lifecycle.Common,android.arch.lifecycle,Lifecycle.Event,androidx.lifecycle,Lifecycle.Event,
Android.Arch.Lifecycle,Lifecycle.Event.OnAnyAttribute,AndroidX.Lifecycle.Common,Lifecycle.Event.OnAnyAttribute,Xamarin.AndroidX.Lifecycle.Common,,,,,
Android.Arch.Lifecycle,Lifecycle.Event.OnCreateAttribute,AndroidX.Lifecycle.Common,Lifecycle.Event.OnCreateAttribute,Xamarin.AndroidX.Lifecycle.Common,,,,,
Android.Arch.Lifecycle,Lifecycle.Event.OnDestroyAttribute,AndroidX.Lifecycle.Common,Lifecycle.Event.OnDestroyAttribute,Xamarin.AndroidX.Lifecycle.Common,,,,,
Android.Arch.Lifecycle,Lifecycle.Event.OnPauseAttribute,AndroidX.Lifecycle.Common,Lifecycle.Event.OnPauseAttribute,Xamarin.AndroidX.Lifecycle.Common,,,,,
Android.Arch.Lifecycle,Lifecycle.Event.OnResumeAttribute,AndroidX.Lifecycle.Common,Lifecycle.Event.OnResumeAttribute,Xamarin.AndroidX.Lifecycle.Common,,,,,
Android.Arch.Lifecycle,Lifecycle.Event.OnStartAttribute,AndroidX.Lifecycle.Common,Lifecycle.Event.OnStartAttribute,Xamarin.AndroidX.Lifecycle.Common,,,,,
Android.Arch.Lifecycle,Lifecycle.Event.OnStopAttribute,AndroidX.Lifecycle.Common,Lifecycle.Event.OnStopAttribute,Xamarin.AndroidX.Lifecycle.Common,,,,,
Android.Arch.Lifecycle,Lifecycle.State,AndroidX.Lifecycle,Lifecycle.State,Xamarin.AndroidX.Lifecycle.Common,android.arch.lifecycle,Lifecycle.State,androidx.lifecycle,Lifecycle.State,
Android.Arch.Lifecycle,LifecycleRegistry,AndroidX.Lifecycle,LifecycleRegistry,Xamarin.AndroidX.Lifecycle.Runtime,android.arch.lifecycle,LifecycleRegistry,androidx.lifecycle,LifecycleRegistry,
Android.Arch.Lifecycle,LifecycleRegistry.ObserverWithState,AndroidX.Lifecycle,LifecycleRegistry.ObserverWithState,Xamarin.AndroidX.Lifecycle.Runtime,android.arch.lifecycle,LifecycleRegistry.ObserverWithState,androidx.lifecycle,LifecycleRegistry.ObserverWithState,
Android.Arch.Lifecycle,LifecycleService,AndroidX.Lifecycle,LifecycleService,Xamarin.AndroidX.Lifecycle.Service,android.arch.lifecycle,LifecycleService,androidx.lifecycle,LifecycleService,
Android.Arch.Lifecycle,Lifecycling,AndroidX.Lifecycle,Lifecycling,Xamarin.AndroidX.Lifecycle.Common,android.arch.lifecycle,Lifecycling,androidx.lifecycle,Lifecycling,
Android.Arch.Lifecycle,LiveData,AndroidX.Lifecycle,LiveData,Xamarin.AndroidX.Lifecycle.LiveData.Core,android.arch.lifecycle,LiveData,androidx.lifecycle,LiveData,
Android.Arch.Lifecycle,LiveData.LifecycleBoundObserver,AndroidX.Lifecycle,LiveData.LifecycleBoundObserver,Xamarin.AndroidX.Lifecycle.LiveData.Core,android.arch.lifecycle,LiveData.LifecycleBoundObserver,androidx.lifecycle,LiveData.LifecycleBoundObserver,
Android.Arch.Lifecycle,LiveData.ObserverWrapper,AndroidX.Lifecycle,LiveData.ObserverWrapper,Xamarin.AndroidX.Lifecycle.LiveData.Core,android.arch.lifecycle,LiveData.ObserverWrapper,androidx.lifecycle,LiveData.ObserverWrapper,
Android.Arch.Lifecycle,MediatorLiveData,AndroidX.Lifecycle,MediatorLiveData,Xamarin.AndroidX.Lifecycle.LiveData,android.arch.lifecycle,MediatorLiveData,androidx.lifecycle,MediatorLiveData,
Android.Arch.Lifecycle,MethodCallsLogger,AndroidX.Lifecycle,MethodCallsLogger,Xamarin.AndroidX.Lifecycle.Common,android.arch.lifecycle,MethodCallsLogger,androidx.lifecycle,MethodCallsLogger,
Android.Arch.Lifecycle,MutableLiveData,AndroidX.Lifecycle,MutableLiveData,Xamarin.AndroidX.Lifecycle.LiveData.Core,android.arch.lifecycle,MutableLiveData,androidx.lifecycle,MutableLiveData,
Android.Arch.Lifecycle,ProcessLifecycleOwner,AndroidX.Lifecycle,ProcessLifecycleOwner,Xamarin.AndroidX.Lifecycle.Process,android.arch.lifecycle,ProcessLifecycleOwner,androidx.lifecycle,ProcessLifecycleOwner,
Android.Arch.Lifecycle,ProcessLifecycleOwnerInitializer,AndroidX.Lifecycle,ProcessLifecycleOwnerInitializer,Xamarin.AndroidX.Lifecycle.Process,android.arch.lifecycle,ProcessLifecycleOwnerInitializer,androidx.lifecycle,ProcessLifecycleOwnerInitializer,
Android.Arch.Lifecycle,ReportFragment,AndroidX.Lifecycle,ReportFragment,Xamarin.AndroidX.Lifecycle.Runtime,android.arch.lifecycle,ReportFragment,androidx.lifecycle,ReportFragment,
Android.Arch.Lifecycle,ServiceLifecycleDispatcher,AndroidX.Lifecycle,ServiceLifecycleDispatcher,Xamarin.AndroidX.Lifecycle.Service,android.arch.lifecycle,ServiceLifecycleDispatcher,androidx.lifecycle,ServiceLifecycleDispatcher,
Android.Arch.Lifecycle,ServiceLifecycleDispatcher.DispatchRunnable,AndroidX.Lifecycle,ServiceLifecycleDispatcher.DispatchRunnable,Xamarin.AndroidX.Lifecycle.Service,android.arch.lifecycle,ServiceLifecycleDispatcher.DispatchRunnable,androidx.lifecycle,ServiceLifecycleDispatcher.DispatchRunnable,
Android.Arch.Lifecycle,SingleGeneratedAdapterObserver,AndroidX.Lifecycle,SingleGeneratedAdapterObserver,Xamarin.AndroidX.Lifecycle.Common,android.arch.lifecycle,SingleGeneratedAdapterObserver,androidx.lifecycle,SingleGeneratedAdapterObserver,
Android.Arch.Lifecycle,Transformations,AndroidX.Lifecycle,Transformations,Xamarin.AndroidX.Lifecycle.LiveData,android.arch.lifecycle,Transformations,androidx.lifecycle,Transformations,
Android.Arch.Lifecycle,ViewModel,AndroidX.Lifecycle,ViewModel,Xamarin.AndroidX.Lifecycle.ViewModel,android.arch.lifecycle,ViewModel,androidx.lifecycle,ViewModel,
Android.Arch.Lifecycle,ViewModelProvider,AndroidX.Lifecycle,ViewModelProvider,Xamarin.AndroidX.Lifecycle.ViewModel,android.arch.lifecycle,ViewModelProvider,androidx.lifecycle,ViewModelProvider,
Android.Arch.Lifecycle,ViewModelProvider.AndroidViewModelFactory,AndroidX.Lifecycle,ViewModelProvider.AndroidViewModelFactory,Xamarin.AndroidX.Lifecycle.ViewModel,android.arch.lifecycle,ViewModelProvider.AndroidViewModelFactory,androidx.lifecycle,ViewModelProvider.AndroidViewModelFactory,
Android.Arch.Lifecycle,ViewModelProvider.IFactory,AndroidX.Lifecycle,ViewModelProvider.IFactory,Xamarin.AndroidX.Lifecycle.ViewModel,,,,,
Android.Arch.Lifecycle,ViewModelProvider.NewInstanceFactory,AndroidX.Lifecycle,ViewModelProvider.NewInstanceFactory,Xamarin.AndroidX.Lifecycle.ViewModel,android.arch.lifecycle,ViewModelProvider.NewInstanceFactory,androidx.lifecycle,ViewModelProvider.NewInstanceFactory,
Android.Arch.Lifecycle,ViewModelProviders,AndroidX.Lifecycle,ViewModelProviders,Xamarin.AndroidX.Lifecycle.Extensions,android.arch.lifecycle,ViewModelProviders,androidx.lifecycle,ViewModelProviders,
Android.Arch.Lifecycle,ViewModelProviders.DefaultFactory,AndroidX.Lifecycle,ViewModelProviders.DefaultFactory,Xamarin.AndroidX.Lifecycle.Extensions,android.arch.lifecycle,ViewModelProviders.DefaultFactory,androidx.lifecycle,ViewModelProviders.DefaultFactory,
Android.Arch.Lifecycle,ViewModelStore,AndroidX.Lifecycle,ViewModelStore,Xamarin.AndroidX.Lifecycle.ViewModel,android.arch.lifecycle,ViewModelStore,androidx.lifecycle,ViewModelStore,
Android.Arch.Lifecycle,ViewModelStores,AndroidX.Lifecycle,ViewModelStores,Xamarin.AndroidX.Lifecycle.Extensions,android.arch.lifecycle,ViewModelStores,androidx.lifecycle,ViewModelStores,
Android.Support.Animation,DynamicAnimation,AndroidX.DynamicAnimation,DynamicAnimation,Xamarin.AndroidX.DynamicAnimation,android.support.animation,DynamicAnimation,androidx.dynamicanimation.animation,DynamicAnimation,
Android.Support.Animation,DynamicAnimation.AnimationEndEventArgs,AndroidX.DynamicAnimation,DynamicAnimation.AnimationEndEventArgs,Xamarin.AndroidX.DynamicAnimation,,,,,
Android.Support.Animation,DynamicAnimation.AnimationUpdateEventArgs,AndroidX.DynamicAnimation,DynamicAnimation.AnimationUpdateEventArgs,Xamarin.AndroidX.DynamicAnimation,,,,,
Android.Support.Animation,DynamicAnimation.IOnAnimationEndListener,AndroidX.DynamicAnimation,DynamicAnimation.IOnAnimationEndListener,Xamarin.AndroidX.DynamicAnimation,,,,,
Android.Support.Animation,DynamicAnimation.IOnAnimationUpdateListener,AndroidX.DynamicAnimation,DynamicAnimation.IOnAnimationUpdateListener,Xamarin.AndroidX.DynamicAnimation,,,,,
Android.Support.Animation,DynamicAnimation.MassState,AndroidX.DynamicAnimation,DynamicAnimation.MassState,Xamarin.AndroidX.DynamicAnimation,android.support.animation,DynamicAnimation.MassState,androidx.dynamicanimation.animation,DynamicAnimation.MassState,
Android.Support.Animation,DynamicAnimation.ViewProperty,AndroidX.DynamicAnimation,DynamicAnimation.ViewProperty,Xamarin.AndroidX.DynamicAnimation,android.support.animation,DynamicAnimation.ViewProperty,androidx.dynamicanimation.animation,DynamicAnimation.ViewProperty,
Android.Support.Animation,FlingAnimation,AndroidX.DynamicAnimation,FlingAnimation,Xamarin.AndroidX.DynamicAnimation,android.support.animation,FlingAnimation,androidx.dynamicanimation.animation,FlingAnimation,
Android.Support.Animation,FlingAnimation.DragForce,AndroidX.DynamicAnimation,FlingAnimation.DragForce,Xamarin.AndroidX.DynamicAnimation,android.support.animation,FlingAnimation.DragForce,androidx.dynamicanimation.animation,FlingAnimation.DragForce,
Android.Support.Animation,FloatPropertyCompat,AndroidX.DynamicAnimation,FloatPropertyCompat,Xamarin.AndroidX.DynamicAnimation,android.support.animation,FloatPropertyCompat,androidx.dynamicanimation.animation,FloatPropertyCompat,
Android.Support.Animation,FloatValueHolder,AndroidX.DynamicAnimation,FloatValueHolder,Xamarin.AndroidX.DynamicAnimation,android.support.animation,FloatValueHolder,androidx.dynamicanimation.animation,FloatValueHolder,
Android.Support.Animation,SpringAnimation,AndroidX.DynamicAnimation,SpringAnimation,Xamarin.AndroidX.DynamicAnimation,android.support.animation,SpringAnimation,androidx.dynamicanimation.animation,SpringAnimation,
Android.Support.Animation,SpringForce,AndroidX.DynamicAnimation,SpringForce,Xamarin.AndroidX.DynamicAnimation,android.support.animation,SpringForce,androidx.dynamicanimation.animation,SpringForce,
Android.Support.Annotation,AnimResAttribute,AndroidX.Annotations,AnimResAttribute,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,AnimatorResAttribute,AndroidX.Annotations,AnimatorResAttribute,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,AnyResAttribute,AndroidX.Annotations,AnyResAttribute,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,AnyThreadAttribute,AndroidX.Annotations,AnyThreadAttribute,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,ArrayResAttribute,AndroidX.Annotations,ArrayResAttribute,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,AttrResAttribute,AndroidX.Annotations,AttrResAttribute,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,BinderThreadAttribute,AndroidX.Annotations,BinderThreadAttribute,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,BoolResAttribute,AndroidX.Annotations,BoolResAttribute,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,CallSuperAttribute,AndroidX.Annotations,CallSuperAttribute,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,CheckResultAttribute,AndroidX.Annotations,CheckResultAttribute,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,ColorIntAttribute,AndroidX.Annotations,ColorIntAttribute,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,ColorLongAttribute,AndroidX.Annotations,ColorLongAttribute,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,ColorResAttribute,AndroidX.Annotations,ColorResAttribute,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,DimenResAttribute,AndroidX.Annotations,DimenResAttribute,Xamarin.AndroidX.Annotation,,,,,
Android.Support.Annotation,Dimension,AndroidX.Annotations,Dimension,Xamarin.AndroidX.Annotation,android.support.annotation,Dimension,androidx.annotation,Dimension,
Android.Support.Annotation,DimensionAttribute,AndroidX.Annotations,DimensionAttribute,Xamarin.AndroidX.Annotation,,,,,
